ticker,name,strategy,passed,score,max_score,score_pct,price,pe_ratio,pb_ratio,roe_pct,current_ratio,debt_to_equity,graham_number,avg_volume,backtest_edge_pct
ARLP,ALLIANCE RESOURCE PARTNERS LP,buffett,False,2,6,33.3,26.48,—,—,—,2.10,—,—,"138,436",—
ARLP,ALLIANCE RESOURCE PARTNERS LP,greenblatt,False,1,3,33.3,26.48,—,—,—,2.10,—,—,"138,436",—
ARLP,ALLIANCE RESOURCE PARTNERS LP,lynch,False,1,4,25.0,26.48,—,—,—,2.10,—,—,"138,436",—
ARLP,ALLIANCE RESOURCE PARTNERS LP,netnet,False,1,4,25.0,26.48,—,—,—,2.10,—,—,"138,436",—
ARLP,ALLIANCE RESOURCE PARTNERS LP,custom,False,0,0,0.0,26.48,—,—,—,2.10,—,—,"138,436",—
MCRI,"MONARCH CASINO & RESORT, INC.",graham,False,3,9,33.3,122,22.38,4.22,18.86,0.86,0.33,59.33,"115,232",—
MCRI,"MONARCH CASINO & RESORT, INC.",greenblatt,False,1,3,33.3,122,22.38,4.22,18.86,0.86,0.33,59.33,"115,232",—
MCRI,"MONARCH CASINO & RESORT, INC.",netnet,False,1,4,25.0,122,22.38,4.22,18.86,0.86,0.33,59.33,"115,232",—
MCRI,"MONARCH CASINO & RESORT, INC.",custom,False,0,0,0.0,122,22.38,4.22,18.86,0.86,0.33,59.33,"115,232",—
EXLS,"EXLSERVICE HOLDINGS, INC.",graham,False,6,9,66.7,36.63,23.79,6.52,27.50,2.56,0.87,13.95,3M,—
